Site Code,Date (DDMMYYYY),Department,Hour,Actual Hours '22,Budget Rota Hours,Labour Model Hours
D6,2022-08-01 00:00:00,Barback,7,,0,
D6,2022-08-01 00:00:00,Bartender,7,3,3,
D6,2022-08-01 00:00:00,Expo,7,1,1,
D6,2022-08-01 00:00:00,Hosts,7,1,1,
D6,2022-08-01 00:00:00,Runners,7,1,1,
D6,2022-08-01 00:00:00,Servers,7,2,1,
D6,2022-08-01 00:00:00,Barback,8,,0,0
D6,2022-08-01 00:00:00,Bartender,8,3,3,2
D6,2022-08-01 00:00:00,Expo,8,1,1,1
D6,2022-08-01 00:00:00,Hosts,8,3,2,2
D6,2022-08-01 00:00:00,Runners,8,2,1,1
D6,2022-08-01 00:00:00,Servers,8,3,2,1
D6,2022-08-01 00:00:00,Barback,9,,0,0
D6,2022-08-01 00:00:00,Bartender,9,3,3,2
D6,2022-08-01 00:00:00,Expo,9,1,1,1
D6,2022-08-01 00:00:00,Hosts,9,3,2,2
D6,2022-08-01 00:00:00,Runners,9,2,1,1
D6,2022-08-01 00:00:00,Servers,9,4,3,1
D6,2022-08-01 00:00:00,Barback,10,,0,0
D6,2022-08-01 00:00:00,Bartender,10,3,3,3
D6,2022-08-01 00:00:00,Expo,10,1,1,1
D6,2022-08-01 00:00:00,Hosts,10,5,3,3
D6,2022-08-01 00:00:00,Runners,10,3,2,2
D6,2022-08-01 00:00:00,Servers,10,4,3,2
D6,2022-08-01 00:00:00,Barback,11,1,1,0
D6,2022-08-01 00:00:00,Bartender,11,2,3,3
D6,2022-08-01 00:00:00,Expo,11,1,1,1
D6,2022-08-01 00:00:00,Hosts,11,4,3,3
D6,2022-08-01 00:00:00,Runners,11,3,2,2
D6,2022-08-01 00:00:00,Servers,11,7,5,3
D6,2022-08-01 00:00:00,Barback,12,1,1,1
D6,2022-08-01 00:00:00,Bartender,12,4,3,3
D6,2022-08-01 00:00:00,Expo,12,1,1,1
D6,2022-08-01 00:00:00,Hosts,12,6,4,3
D6,2022-08-01 00:00:00,Runners,12,4,4,2
D6,2022-08-01 00:00:00,Servers,12,7,9,5
D6,2022-08-01 00:00:00,Barback,13,1,1,1
D6,2022-08-01 00:00:00,Bartender,13,4,3,4
D6,2022-08-01 00:00:00,Expo,13,1,1,1
D6,2022-08-01 00:00:00,Hosts,13,6,4,5
D6,2022-08-01 00:00:00,Runners,13,4,4,5
D6,2022-08-01 00:00:00,Servers,13,8,9,7
D6,2022-08-01 00:00:00,Barback,14,1,1,1
D6,2022-08-01 00:00:00,Bartender,14,5,3,4
D6,2022-08-01 00:00:00,Expo,14,1,1,1
D6,2022-08-01 00:00:00,Hosts,14,5,4,4
D6,2022-08-01 00:00:00,Runners,14,4,4,4
D6,2022-08-01 00:00:00,Servers,14,9,9,6
D6,2022-08-01 00:00:00,Barback,15,1,1,1
D6,2022-08-01 00:00:00,Bartender,15,5,3,3
D6,2022-08-01 00:00:00,Expo,15,1,1,1
D6,2022-08-01 00:00:00,Hosts,15,5,3,3
D6,2022-08-01 00:00:00,Runners,15,4,4,2
D6,2022-08-01 00:00:00,Servers,15,13,8,5
D6,2022-08-01 00:00:00,Barback,16,1,0,1
D6,2022-08-01 00:00:00,Bartender,16,2,2,2
D6,2022-08-01 00:00:00,Expo,16,1,1,1
D6,2022-08-01 00:00:00,Hosts,16,4,3,3
D6,2022-08-01 00:00:00,Runners,16,4,4,2
D6,2022-08-01 00:00:00,Servers,16,12,6,5
D6,2022-08-01 00:00:00,Barback,17,1,2,1
D6,2022-08-01 00:00:00,Bartender,17,3,4,3
D6,2022-08-01 00:00:00,Expo,17,1,1,1
D6,2022-08-01 00:00:00,Hosts,17,3,5,5
D6,2022-08-01 00:00:00,Runners,17,1,3,5
D6,2022-08-01 00:00:00,Servers,17,7,10,7
D6,2022-08-01 00:00:00,Barback,18,1,2,2
D6,2022-08-01 00:00:00,Bartender,18,4,5,4
D6,2022-08-01 00:00:00,Expo,18,2,2,2
D6,2022-08-01 00:00:00,Hosts,18,5,6,8
D6,2022-08-01 00:00:00,Runners,18,4,3,6
D6,2022-08-01 00:00:00,Servers,18,10,10,11
D6,2022-08-01 00:00:00,Barback,19,1,2,1
D6,2022-08-01 00:00:00,Bartender,19,4,5,4
D6,2022-08-01 00:00:00,Expo,19,2,2,2
D6,2022-08-01 00:00:00,Hosts,19,5,6,7
D6,2022-08-01 00:00:00,Runners,19,4,3,5
D6,2022-08-01 00:00:00,Servers,19,10,10,9
D6,2022-08-01 00:00:00,Barback,20,1,2,1
D6,2022-08-01 00:00:00,Bartender,20,4,5,4
D6,2022-08-01 00:00:00,Expo,20,2,2,2
D6,2022-08-01 00:00:00,Hosts,20,5,6,7
D6,2022-08-01 00:00:00,Runners,20,4,3,5
