Site Code,Date (DDMMYYYY),Department,Hour,Actual Hours '22,Budget Rota Hours,Labour Model Hours,Month,Day
D1,2022-08-01 00:00:00,Barback,7,1.0,1.0,1.0,8,Monday
D1,2022-08-01 00:00:00,Barback,8,1.0,1.0,1.0,8,Monday
D1,2022-08-01 00:00:00,Barback,9,1.0,1.0,1.0,8,Monday
D1,2022-08-01 00:00:00,Barback,10,1.0,1.0,2.0,8,Monday
D1,2022-08-01 00:00:00,Barback,11,1.0,1.0,2.0,8,Monday
D1,2022-08-01 00:00:00,Barback,12,1.0,1.0,2.0,8,Monday
D1,2022-08-01 00:00:00,Barback,13,1.0,1.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,14,1.0,1.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,15,1.0,1.0,2.0,8,Monday
D1,2022-08-01 00:00:00,Barback,16,2.0,2.0,2.0,8,Monday
D1,2022-08-01 00:00:00,Barback,17,2.0,2.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,18,2.0,2.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,19,2.0,2.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,20,2.0,2.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,21,1.0,2.0,3.0,8,Monday
D1,2022-08-01 00:00:00,Barback,22,2.0,2.0,2.0,8,Monday
D1,2022-08-01 00:00:00,Barback,23,2.0,2.0,1.0,8,Monday
D1,2022-08-01 00:00:00,Barback,24,1.3333333333333333,1.3333333333333333,1.3333333333333333,8,Monday
D1,2022-08-01 00:00:00,Barback,25,1.0,1.0,1.0,8,Monday
D1,2022-08-02 00:00:00,Barback,7,1.25,1.25,1.25,8,Tuesday
D1,2022-08-02 00:00:00,Barback,8,1.0,2.0,2.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,9,1.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,10,1.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,11,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,12,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,13,2.0,2.0,4.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,14,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,15,2.0,2.0,4.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,16,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,17,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,18,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,19,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,20,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,21,2.0,2.0,3.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,22,2.0,2.0,2.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,23,2.0,2.0,1.0,8,Tuesday
D1,2022-08-02 00:00:00,Barback,24,1.5,1.5,1.5,8,Tuesday
D1,2022-08-03 00:00:00,Barback,7,2.0,2.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,8,Wednesday
D1,2022-08-03 00:00:00,Barback,9,1.3333333333333333,1.3333333333333333,1.3333333333333333,8,Wednesday
D1,2022-08-03 00:00:00,Barback,10,2.0,1.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,11,1.0,1.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,12,1.0,1.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,13,1.0,1.0,3.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,14,1.0,1.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,15,1.0,1.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,16,3.0,2.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,17,2.0,2.0,3.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,18,2.0,2.0,3.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,19,2.0,2.0,3.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,20,2.0,2.0,3.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,21,2.0,2.0,3.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,22,2.0,2.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,23,2.0,2.0,2.0,8,Wednesday
D1,2022-08-03 00:00:00,Barback,24,1.0,1.0,1.0,8,Wednesday
D1,2022-08-04 00:00:00,Barback,7,1.0,1.0,1.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,8,1.0,1.0,1.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,9,1.0,1.0,1.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,10,1.0,1.0,2.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,11,1.0,1.0,2.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,12,2.0,1.0,2.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,13,2.0,1.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,14,2.0,1.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,15,2.0,1.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,16,2.0,2.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,17,2.0,2.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,18,2.0,2.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,19,2.0,2.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,20,2.0,2.0,3.0,8,Thursday
