,Role ,Department,Section ,Day,Period,Shift Number,Start Time (Hour),End Time (Hour),Hours,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,Breakfast,Lunch,Afternoon,Dinner,,,
0,Bartender,Bartender,Bar Stocks,Monday,,,5:00:00,16:00:00,11,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,7,3,1,0,TRUE,Bartender_Monday,
,Bartender,Bartender,Bar Stocks,Tuesday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Tuesday,
,Bartender,Bartender,Bar Stocks,Wednesday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Wednesday,
,Bartender,Bartender,Bar Stocks,Thursday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Thursday,
,Bartender,Bartender,Bar Stocks,Friday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Friday,
,Bartender,Bartender,Bar Stocks,Saturday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Saturday,
,Bartender,Bartender,Bar Stocks,Sunday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Sunday,
1,Bartender,Bartender,Bar Batch,Monday,,,0:00:00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,TRUE,Bartender_Monday,
,Bartender,Bartender,Bar Batch,Tuesday,,,10:00:00,17:00:00,7,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,2,3,2,0,TRUE,Bartender_Tuesday,
,Bartender,Bartender,Bar Batch,Wednesday,,,10:00:00,17:00:00,7,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,2,3,2,0,TRUE,Bartender_Wednesday,
