Home,Division,Shift date,Hour,Actual_Number,Day
Dishoom Covent Garden,Expo,2022-07-01,7,1,Friday
Dishoom Covent Garden,Expo,2022-07-01,8,1,Friday
Dishoom Covent Garden,Expo,2022-07-01,9,1,Friday
Dishoom Covent Garden,Expo,2022-07-01,10,1,Friday
Dishoom Covent Garden,Expo,2022-07-01,11,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,12,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,13,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,14,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,15,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,16,1,Friday
Dishoom Covent Garden,Expo,2022-07-01,17,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,18,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,19,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,20,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,21,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,22,2,Friday
Dishoom Covent Garden,Expo,2022-07-01,23,1,Friday
Dishoom Covent Garden,Expo,2022-07-01,24,1,Friday
Dishoom Covent Garden,Expo,2022-07-02,8,1,Saturday
Dishoom Covent Garden,Expo,2022-07-02,9,1,Saturday
Dishoom Covent Garden,Expo,2022-07-02,10,1,Saturday
Dishoom Covent Garden,Expo,2022-07-02,11,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,12,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,13,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,14,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,15,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,16,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,17,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,18,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,19,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,20,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,21,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,22,2,Saturday
Dishoom Covent Garden,Expo,2022-07-02,23,1,Saturday
Dishoom Covent Garden,Expo,2022-07-02,24,1,Saturday
Dishoom Covent Garden,Expo,2022-07-04,7,1,Monday
Dishoom Covent Garden,Expo,2022-07-04,8,1,Monday
Dishoom Covent Garden,Expo,2022-07-04,9,1,Monday
Dishoom Covent Garden,Expo,2022-07-04,10,1,Monday
Dishoom Covent Garden,Expo,2022-07-04,11,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,12,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,13,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,14,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,15,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,16,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,17,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,18,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,19,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,20,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,21,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,22,2,Monday
Dishoom Covent Garden,Expo,2022-07-04,23,1,Monday
Dishoom Covent Garden,Expo,2022-07-05,7,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,8,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,9,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,10,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,11,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,12,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,13,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,14,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,15,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,16,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,17,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,18,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,19,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,20,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,21,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-05,22,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-06,7,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,8,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,9,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,10,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,11,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,12,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,13,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,14,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,15,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,16,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,17,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,18,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,19,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,20,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,21,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-06,22,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-08,7,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,8,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,9,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,10,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,11,2,Friday
Dishoom Covent Garden,Expo,2022-07-08,12,2,Friday
Dishoom Covent Garden,Expo,2022-07-08,13,2,Friday
Dishoom Covent Garden,Expo,2022-07-08,14,2,Friday
Dishoom Covent Garden,Expo,2022-07-08,15,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,16,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,17,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,18,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,19,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,20,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,21,1,Friday
Dishoom Covent Garden,Expo,2022-07-08,22,1,Friday
Dishoom Covent Garden,Expo,2022-07-09,8,1,Saturday
Dishoom Covent Garden,Expo,2022-07-09,9,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,10,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,11,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,12,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,13,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,14,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,15,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,16,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,17,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,18,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,19,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,20,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,21,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,22,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,23,2,Saturday
Dishoom Covent Garden,Expo,2022-07-09,24,1,Saturday
Dishoom Covent Garden,Expo,2022-07-12,7,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,8,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,9,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,10,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,11,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,12,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,13,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,14,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,15,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,16,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,17,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,18,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,19,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,20,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,21,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,22,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-12,23,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-13,7,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,8,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,9,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,10,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,11,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,12,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,13,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,14,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,15,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,16,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,17,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,18,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,19,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,20,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,21,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,22,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-13,23,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-14,7,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,8,2,Thursday
